PRISM Time Series Data
Location:  Lat: 32.2843   Lon: -111.1931   Elev: 835m
"Climate variables: ppt,tmin,tmean,tmax"
Spatial resolution: 800m
Monthly 1991-2020 Normals
Dataset: Norm91m
PRISM day definition: 24 hours ending at 1200 UTC on the day shown
Grid Cell Interpolation: On
Time series generated: 2024-Jul-25
Details: http://www.prism.oregonstate.edu/documents/PRISM_datasets.pdf
Date,ppt (mm),tmin (degrees C),tmean (degrees C),tmax (degrees C)
January,25.30,4.6,11.7,18.8
February,24.57,5.7,13.0,20.3
March,18.11,8.0,15.9,23.8
April,7.23,11.1,19.5,27.9
May,4.12,15.4,24.2,32.9
June,6.02,20.9,29.5,38.2
July,48.00,23.8,30.9,38.0
August,63.54,23.1,30.0,37.0
September,29.47,20.8,27.9,35.1
October,19.39,14.6,22.4,30.3
November,16.20,8.8,16.4,24.0
December,27.19,4.5,11.5,18.5
Annual,289.14,13.4,21.1,28.7
