Site,Date,Year,StudyYear,Latitude,Longitude,Elevation_ft,SiteDateTransectID,Transect,Prev_year_precip,MAP,MAT
TumamocHill,2020-09-28T00:00:00Z,2020,1,32.2176166666666,-111.007366666666,2830,1,5_2,228.21,276.05,20.9
TumamocHill,2020-10-16T00:00:00Z,2020,1,32.2178333333333,-111.007483333333,2816,2,5_3,228.18,276.04,20.9
TumamocHill,2020-09-29T00:00:00Z,2020,1,32.2138333333333,-111.002933333333,2775,3,3_1,221.22,274.39,20.9
TumamocHill,2020-10-17T00:00:00Z,2020,1,32.2138333333333,-111.002933333333,2775,4,3_1,221.22,274.39,20.9
TumamocHill,2020-09-30T00:00:00Z,2020,1,32.2162666666666,-111.006516666666,2885,5,5_5,227.3,275.87,20.9
TumamocHill,2020-09-28T00:00:00Z,2020,1,32.2162666666666,-111.006516666666,2885,6,5_5,227.3,275.87,20.9
TumamocHill,2020-10-01T00:00:00Z,2020,1,32.2155833333333,-111.008083333333,2805,7,5_6,227.97,276.04,20.9
TumamocHill,2020-10-01T00:00:00Z,2020,1,32.2149833333333,-111.008766666666,2703,8,5_4,227.93,276.22,20.9
TumamocHill,2020-10-19T00:00:00Z,2020,1,32.2149833333333,-111.008766666666,2703,9,5_4,227.93,276.22,20.9
TumamocHill,2020-10-12T00:00:00Z,2020,1,32.2110683333333,-111.00449,3063,10,4_3,220.14,274.91,20.9
TumamocHill,2020-09-29T00:00:00Z,2020,1,32.2149333333333,-111.002133333333,2711,11,3_3,220.79,273.94,20.9
TumamocHill,2020-10-13T00:00:00Z,2020,1,32.21035,-111.005866666666,2749,12,4_1,219.92,275.29,20.9
TumamocHill,2020-10-15T00:00:00Z,2020,1,32.2093933333333,-111.0061,2642,13,4_2,219.53,275.46,20.9
TumamocHill,2020-10-19T00:00:00Z,2020,1,32.2124666666666,-111.009266666666,2693,14,5_1,224.54,276.25,20.9
TumamocHill,2021-09-26T00:00:00Z,2021,2,32.2176166666666,-111.007366666666,2830,15,5_2,368.98,276.05,20.9
TumamocHill,2021-09-26T00:00:00Z,2021,2,32.2178333333333,-111.007483333333,2816,16,5_3,368.98,276.04,20.9
TumamocHill,2021-09-24T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,17,3_1,361.66,274.39,20.9
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.2162666666666,-111.006516666666,2885,18,5_5,362.66,275.87,20.9
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.2155833333333,-111.008083333333,2805,19,5_6,362.79,276.04,20.9
TumamocHill,2021-10-25T00:00:00Z,2021,2,32.2149833333333,-111.008766666666,2703,20,5_4,377.63,276.22,20.9
TumamocHill,2021-10-26T00:00:00Z,2021,2,32.2110683333333,-111.00449,3063,21,4_3,374.69,274.91,20.9
TumamocHill,2021-09-25T00:00:00Z,2021,2,32.2149333333333,-111.002133333333,2711,22,3_3,362.47,273.94,20.9
TumamocHill,2021-10-10T00:00:00Z,2021,2,32.21035,-111.005866666666,2749,23,4_1,374.54,275.29,20.9
TumamocHill,2021-10-10T00:00:00Z,2021,2,32.2093933333333,-111.0061,2642,24,4_2,374.31,275.46,20.9
TumamocHill,2021-10-14T00:00:00Z,2021,2,32.2124666666666,-111.009266666666,2693,25,5_1,376.04,276.25,20.9
TumamocHill,2021-10-27T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,26,3_1,376.64,274.39,20.9
TumamocHill,2021-11-01T00:00:00Z,2021,2,32.2138333333333,-111.002933333333,2775,27,3_1,376.64,274.39,20.9
