Date,Observers,Year,StudyYear,Site,Transect,Plot,Plant_ID,BGDensity,BGCover,ShrubCover,ForbCover,NGCover,PlotSlope,Aspect,Vegetative_culms,Reproductive_culms,Longestleaflength_cm,Total_Live_Culms,Notes,Latitude,Longitude,Elevation_ft,SiteDateTransectID,Prev_year_precip,MAP,MAT,Perc_dev,Deviation_mm,Perc_dev_abs
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,1,1.6875,25,25,1,0,10.2,W,10,4,50,14,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,2,1.6875,25,25,1,0,10.2,W,16,2,59,18,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,3,1.6875,25,25,1,0,10.2,W,19,3,59,22,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,4,1.6875,25,25,1,0,10.2,W,11,3,65.6,14,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,5,1.6875,25,25,1,0,10.2,W,24,12,90,36,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,6,1.6875,25,25,1,0,10.2,W,16,8,57,24,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,7,1.6875,25,25,1,0,10.2,W,14,4,78,18,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,8,1.6875,25,25,1,0,10.2,W,25,1,49,26,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,9,1.6875,25,25,1,0,10.2,W,2,1,57,3,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,260,10,1.6875,25,25,1,0,10.2,W,7,3,45,10,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,261,11,3.125,40,8,1,5,6.6,W,3,2,30,5,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,261,12,3.125,40,8,1,5,6.6,W,7,11,60,18,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,261,13,3.125,40,8,1,5,6.6,W,40,20,75,60,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,261,14,3.125,40,8,1,5,6.6,W,20,11,65,31,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,261,15,3.125,40,8,1,5,6.6,W,26,7,51,33,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,261,16,3.125,40,8,1,5,6.6,W,19,15,71,34,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,261,17,3.125,40,8,1,5,6.6,W,25,7,77,32,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
2020-09-28T00:00:00Z,"KH, Oona, Natalie",2020,1,TumamocHill,5_2,261,18,3.125,40,8,1,5,6.6,W,20,7,57,27,reproductive culms re-counted on 10/15/2020 with AK. Original count included some reproductive culms from previous year. The data in this file is from the re-count on 10/15.,32.217616666666665,-111.00736666666668,2830,1,224.22,276.05,20.9,-0.18775584133309187,-51.83000000000001,0.18775584133309187
