Year,Site,Transect,Plot,Prev_year_precip,PlotSlope,Aspect,BGDensity,BGCover,ShrubCover,HerbCover,remaining_toothpicks,seedlings_surviving,Init_BGCover,Init_BGDensity,Init_ShrubCover,Init_HerbCover
2021,TumamocHill,4_1,263,373.85,11.8,S,10.875,40,0,1,13,5,80,3.0625,3,1
2021,TumamocHill,4_1,264,373.85,13.8,S,13.9375,20,15,2.5,7,6,12,2,10,1.5
2021,TumamocHill,4_1,265,373.85,11.4,S,31.125,25,15,2,17,10,30,3.9375,18,1
2021,TumamocHill,4_2,296,373.91,8,S,4.4375,60,18,6,10,1,65,6.4375,30,18
2021,TumamocHill,4_2,297,373.91,9.2,S,7.125,75,8,10.5,7,1,90,6.375,8,2
2021,TumamocHill,4_2,298,373.91,4.4,S,3.375,20,30,10.5,7,3,50,4.0625,25,1.5
2021,TumamocHill,5_1,364,374.99,18.8,N,6.3125,25,22,20,20,14,23,2.9375,25,7
2021,TumamocHill,5_1,363,374.99,22.4,N,5.875,20,16,32,23,18,20,3.75,40,9
2021,TumamocHill,5_1,362,374.99,17.4,N,6.4375,40,15,14,20,16,55,4.0625,40,4
2021,TumamocHill,5_2,260,367.02,10.2,W,4.5625,33,20,1,16,4,25,1.6875,25,1
2021,TumamocHill,5_2,261,367.02,6.6,W,10.5,40,5,21,20,10,40,3.125,8,6
2021,TumamocHill,5_2,262,367.02,14.6,W,4.1875,50,15,32,14,6,30,2.5,40,26
2021,TumamocHill,5_3,40,366.99,8,N,8.6875,45,10,13.5,19,11,30,5.1875,10,23
2021,TumamocHill,5_3,41,366.99,16.2,N,8.125,33,15,22,19,11,12,2.9375,33,55
2021,TumamocHill,5_3,42,366.99,18.8,N,3.875,25,15,28,13,4,18,2.8125,23,15
2021,TumamocHill,5_4,223,375.12,19.4,W,4.75,90,12,3,11,2,60,3.4375,20,1
2021,TumamocHill,5_4,222,375.12,22.2,W,3.4375,50,16,6,6,2,45,2.5625,25,1
2021,TumamocHill,5_4,221,375.12,15.6,W,6.875,80,0,1.5,23,13,70,3.1875,0,1
2021,TumamocHill,5_5,96,360.42,12.8,N,7.6875,90,5,3.5,7,1,50,3.8125,10,1
2021,TumamocHill,5_5,95,360.42,9.2,N,5.4375,90,15,3.5,15,6,60,3.75,40,1
2021,TumamocHill,5_5,94,360.42,6.6,N,3.25,90,0,3.5,10,3,45,2.9375,10,1
2021,TumamocHill,5_6,220,360.76,17.2,W,15.5,50,15,3,20,11,50,9.125,30,4
2021,TumamocHill,5_6,219,360.76,16.4,W,16.5,75,10,12,12,9,40,5.375,10,3.5
2021,TumamocHill,5_6,218,360.76,17,W,24.4375,60,0,13,14,14,30,4.75,0,3
2022,TumamocHill,5_1,364,245.03,18.8,N,11.0625,33,8,5,20,2,23,2.9375,25,7
2022,TumamocHill,5_1,363,245.03,22.4,N,9.3125,25,20,16,20,0,20,3.75,40,9
2022,TumamocHill,5_1,362,245.03,17.4,N,9.8125,33,17,6,17,2,55,4.0625,40,4
2022,TumamocHill,5_4,223,244.42,19.4,W,3.5,55,10,0,19,0,60,3.4375,20,1
2022,TumamocHill,5_4,222,244.42,22.2,W,3,30,18,0,19,0,45,2.5625,25,1
2022,TumamocHill,5_4,221,244.42,15.6,W,3.875,65,0,0,25,0,70,3.1875,0,1
2022,TumamocHill,5_6,220,244.38,17.2,W,8.5,20,10,0.5,20,5,50,9.125,30,4
2022,TumamocHill,5_6,219,244.38,16.4,W,6.75,25,7,1,24,2,40,5.375,10,3.5
2022,TumamocHill,5_6,218,244.38,17,W,9.3125,23,0,0.5,23,8,30,4.75,0,3
2022,TumamocHill,5_3,42,243.62,18.8,N,14.4375,38,35,11,18,0,18,2.8125,23,15
2022,TumamocHill,5_3,41,243.62,16.2,N,9.8125,18,25,9,20,0,12,2.9375,33,55
2022,TumamocHill,5_3,40,243.62,8,N,16.75,38,10,2,20,0,30,5.1875,10,23
2022,TumamocHill,5_2,262,243.73,14.6,W,11.125,27,30,13,19,3,30,2.5,40,26
2022,TumamocHill,5_2,261,243.73,6.6,W,10.5625,30,8,5,14,1,40,3.125,8,6
2022,TumamocHill,5_2,260,243.73,10.2,W,7.3125,40,35,1.5,17,0,25,1.6875,25,1
2022,TumamocHill,5_5,96,244.44,12.8,N,8.3125,50,10,0,21,6,50,3.8125,10,1
2022,TumamocHill,5_5,95,244.44,9.2,N,5.75,67,22,0,14,0,60,3.75,40,1
2022,TumamocHill,5_5,94,244.44,6.6,N,3.4375,66,0.5,0,11,1,45,2.9375,10,1
2021,ApachePeak,79,425,318.03,26.2,W,4.3125,45,4,9,19,5,45,4.3125,4,9
2021,ApachePeak,79,426,318.03,20,W,3.625,50,7,5,20,8,50,3.625,7,5
2021,ApachePeak,79,427,318.03,18.6,W,5.3125,40,10,0.5,18,12,40,5.3125,10,0.5
2021,ApachePeak,80,428,319.28000000000003,21,E,6.5625,20,13,4,23,12,20,6.5625,13,4
2021,ApachePeak,80,429,319.28000000000003,20,E,4.625,18,10,5,20,9,18,4.625,10,5
2021,ApachePeak,82,431,319.08,8.8,E,6.75,18,18,6,28,13,18,6.75,18,6
2021,ApachePeak,82,432,319.08,9.4,E,6.75,18,18,6,16,11,18,6.75,18,6
2021,ApachePeak,83,435,318.74,20.8,W,6.6875,25,22,8,25,17,25,6.6875,22,8
2021,ApachePeak,83,434,318.74,21.2,W,5.75,20,15,12,18,8,20,5.75,15,12
2021,ApachePeak,83,433,318.74,20.8,W,5.25,22,10,7,25,17,22,5.25,10,7
2021,ApachePeak,84,437,319.74,23.4,S,4.8125,25,18,9,22,11,25,4.8125,18,9
2021,ApachePeak,84,438,319.74,22.6,S,7.5,25,18,3.5,18,9,25,7.5,18,3.5
2021,ApachePeak,84,436,319.74,25.8,S,3.1875,10,8,10,20,10,10,3.1875,8,10
2021,ApachePeak,85,441,321.29,17,E,3.5,65,10,2,19,5,65,3.5,10,2
2021,ApachePeak,85,439,321.29,20.6,E,4.4375,70,13,0,23,2,70,4.4375,13,0
2021,ApachePeak,85,440,321.29,20,E,6.0625,25,10,3,19,4,25,6.0625,10,3
2022,ApachePeak,79,425,266.05,26.2,W,5.9375,65,3,4,20,11,45,4.3125,4,9
2022,ApachePeak,79,426,266.05,20,W,5.25,80,10,1,20,5,50,3.625,7,5
2022,ApachePeak,79,427,266.05,18.6,W,6.875,50,8,2,18,0,40,5.3125,10,0.5
2022,ApachePeak,80,428,265.61,21,E,10.9375,30,8,11,25,10,20,6.5625,13,4
2022,ApachePeak,80,429,265.61,20,E,9.5625,15,4,11,22,9,18,4.625,10,5
2022,ApachePeak,82,431,265.65,8.8,E,5.75,27,10,14,20,5,18,6.75,18,6
2022,ApachePeak,82,432,265.65,9.4,E,2.125,12,8,10,20,2,18,6.75,18,6
2022,ApachePeak,83,433,263.85,20.8,W,7.125,40,4,11,20,4,22,5.25,10,7
2022,ApachePeak,83,434,263.85,21.2,W,9.125,17,8,35,20,5,20,5.75,15,12
2022,ApachePeak,83,435,263.85,20.8,W,10.125,30,17,30.5,20,5,25,6.6875,22,8
2022,ApachePeak,84,436,263.63,25.8,S,3.625,25,5,12,19,3,10,3.1875,8,10
2022,ApachePeak,84,437,263.63,23.4,S,4.875,38,14,4.5,20,4,25,4.8125,18,9
2022,ApachePeak,84,438,263.63,22.6,S,7.6875,33,11,4,24,3,25,7.5,18,3.5
2022,ApachePeak,85,439,265.35,20.6,E,3.6875,80,15,1,23,6,70,4.4375,13,0
2022,ApachePeak,85,440,265.35,20,E,4.375,55,4,6,21,13,25,6.0625,10,3
2022,ApachePeak,85,441,265.12,17,E,4.5,90,3,5,21,4,65,3.5,10,2
