Year,Site,Transect,Plot,Plant_ID,Aspect,PlotSlope,Prev_year_precip,Perc_dev,TotalCulms,ReproductiveCulms,BGDensity,BGCover,ShrubCover,HerbCover
2020,TumamocHill,5_3,40,31,N,8,224.4,-0.18707433705260113,40,6,5.1875,30,10,23
2020,TumamocHill,5_3,40,32,N,8,224.4,-0.18707433705260113,5,0,5.1875,30,10,23
2020,TumamocHill,5_3,40,33,N,8,224.4,-0.18707433705260113,11,2,5.1875,30,10,23
2020,TumamocHill,5_3,40,34,N,8,224.4,-0.18707433705260113,25,7,5.1875,30,10,23
2020,TumamocHill,5_3,40,35,N,8,224.4,-0.18707433705260113,31,8,5.1875,30,10,23
2020,TumamocHill,5_3,40,36,N,8,224.4,-0.18707433705260113,21,7,5.1875,30,10,23
2020,TumamocHill,5_3,40,37,N,8,224.4,-0.18707433705260113,14,2,5.1875,30,10,23
2020,TumamocHill,5_3,40,38,N,8,224.4,-0.18707433705260113,8,1,5.1875,30,10,23
2020,TumamocHill,5_3,40,39,N,8,224.4,-0.18707433705260113,10,1,5.1875,30,10,23
2020,TumamocHill,5_3,40,83,N,8,224.4,-0.18707433705260113,6,0,5.1875,30,10,23
2020,TumamocHill,5_3,41,73,N,16.2,224.4,-0.18707433705260113,7,3,2.9375,12,33,55
2020,TumamocHill,5_3,41,74,N,16.2,224.4,-0.18707433705260113,7,3,2.9375,12,33,55
2020,TumamocHill,5_3,41,75,N,16.2,224.4,-0.18707433705260113,21,14,2.9375,12,33,55
2020,TumamocHill,5_3,41,76,N,16.2,224.4,-0.18707433705260113,4,0,2.9375,12,33,55
2020,TumamocHill,5_3,41,78,N,16.2,224.4,-0.18707433705260113,24,9,2.9375,12,33,55
2020,TumamocHill,5_3,41,79,N,16.2,224.4,-0.18707433705260113,16,4,2.9375,12,33,55
2020,TumamocHill,5_3,41,80,N,16.2,224.4,-0.18707433705260113,6,1,2.9375,12,33,55
2020,TumamocHill,5_3,41,81,N,16.2,224.4,-0.18707433705260113,10,3,2.9375,12,33,55
2020,TumamocHill,5_3,41,82,N,16.2,224.4,-0.18707433705260113,17,3,2.9375,12,33,55
2020,TumamocHill,5_3,42,84,N,18.8,224.4,-0.18707433705260113,10,0,2.8125,18,23,15
2020,TumamocHill,5_3,42,85,N,18.8,224.4,-0.18707433705260113,4,0,2.8125,18,23,15
2020,TumamocHill,5_3,42,86,N,18.8,224.4,-0.18707433705260113,27,8,2.8125,18,23,15
2020,TumamocHill,5_3,42,87,N,18.8,224.4,-0.18707433705260113,5,0,2.8125,18,23,15
2020,TumamocHill,5_3,42,88,N,18.8,224.4,-0.18707433705260113,7,1,2.8125,18,23,15
2020,TumamocHill,5_3,42,89,N,18.8,224.4,-0.18707433705260113,30,7,2.8125,18,23,15
2020,TumamocHill,5_3,42,90,N,18.8,224.4,-0.18707433705260113,15,2,2.8125,18,23,15
2020,TumamocHill,5_3,42,91,N,18.8,224.4,-0.18707433705260113,41,19,2.8125,18,23,15
2020,TumamocHill,5_3,42,92,N,18.8,224.4,-0.18707433705260113,55,9,2.8125,18,23,15
2020,TumamocHill,5_3,42,93,N,18.8,224.4,-0.18707433705260113,13,4,2.8125,18,23,15
2020,TumamocHill,5_5,94,118,N,6.6,222.81,-0.19233697031210353,27,13,2.9375,45,10,1
2020,TumamocHill,5_5,94,119,N,6.6,222.81,-0.19233697031210353,43,23,2.9375,45,10,1
2020,TumamocHill,5_5,94,120,N,6.6,222.81,-0.19233697031210353,95,50,2.9375,45,10,1
2020,TumamocHill,5_5,94,121,N,6.6,222.81,-0.19233697031210353,27,9,2.9375,45,10,1
2020,TumamocHill,5_5,94,122,N,6.6,222.81,-0.19233697031210353,17,10,2.9375,45,10,1
2020,TumamocHill,5_5,94,123,N,6.6,222.81,-0.19233697031210353,73,29,2.9375,45,10,1
2020,TumamocHill,5_5,94,124,N,6.6,222.81,-0.19233697031210353,5,1,2.9375,45,10,1
2020,TumamocHill,5_5,94,125,N,6.6,222.81,-0.19233697031210353,21,20,2.9375,45,10,1
2020,TumamocHill,5_5,94,126,N,6.6,222.81,-0.19233697031210353,40,31,2.9375,45,10,1
2020,TumamocHill,5_5,94,127,N,6.6,222.81,-0.19233697031210353,38,17,2.9375,45,10,1
2020,TumamocHill,5_5,95,107,N,9.2,222.78,-0.19244571718563092,41,15,3.75,60,40,1
2020,TumamocHill,5_5,95,108,N,9.2,222.78,-0.19244571718563092,10,3,3.75,60,40,1
2020,TumamocHill,5_5,95,109,N,9.2,222.78,-0.19244571718563092,25,9,3.75,60,40,1
2020,TumamocHill,5_5,95,110,N,9.2,222.78,-0.19244571718563092,33,14,3.75,60,40,1
2020,TumamocHill,5_5,95,111,N,9.2,222.78,-0.19244571718563092,5,0,3.75,60,40,1
2020,TumamocHill,5_5,95,112,N,9.2,222.78,-0.19244571718563092,5,0,3.75,60,40,1
2020,TumamocHill,5_5,95,113,N,9.2,222.78,-0.19244571718563092,69,41,3.75,60,40,1
2020,TumamocHill,5_5,95,114,N,9.2,222.78,-0.19244571718563092,33,11,3.75,60,40,1
2020,TumamocHill,5_5,95,115,N,9.2,222.78,-0.19244571718563092,9,1,3.75,60,40,1
2020,TumamocHill,5_5,95,116,N,9.2,222.78,-0.19244571718563092,21,8,3.75,60,40,1
2020,TumamocHill,5_5,96,97,N,12.8,222.78,-0.19244571718563092,13,4,3.8125,50,10,1
2020,TumamocHill,5_5,96,98,N,12.8,222.78,-0.19244571718563092,1,1,3.8125,50,10,1
2020,TumamocHill,5_5,96,99,N,12.8,222.78,-0.19244571718563092,19,5,3.8125,50,10,1
2020,TumamocHill,5_5,96,101,N,12.8,222.78,-0.19244571718563092,25,7,3.8125,50,10,1
2020,TumamocHill,5_5,96,102,N,12.8,222.78,-0.19244571718563092,23,6,3.8125,50,10,1
2020,TumamocHill,5_5,96,103,N,12.8,222.78,-0.19244571718563092,15,2,3.8125,50,10,1
2020,TumamocHill,5_5,96,104,N,12.8,222.78,-0.19244571718563092,30,3,3.8125,50,10,1
2020,TumamocHill,5_5,96,105,N,12.8,222.78,-0.19244571718563092,32,10,3.8125,50,10,1
2020,TumamocHill,5_5,96,106,N,12.8,222.78,-0.19244571718563092,8,5,3.8125,50,10,1
2020,TumamocHill,5_5,96,117,N,12.8,222.78,-0.19244571718563092,29,7,3.8125,50,10,1
2020,TumamocHill,5_6,218,128,W,17,223.2,-0.1914215331111434,15,12,4.75,30,0,3
2020,TumamocHill,5_6,218,129,W,17,223.2,-0.1914215331111434,9,6,4.75,30,0,3
2020,TumamocHill,5_6,218,130,W,17,223.2,-0.1914215331111434,1,1,4.75,30,0,3
2020,TumamocHill,5_6,218,131,W,17,223.2,-0.1914215331111434,15,7,4.75,30,0,3
2020,TumamocHill,5_6,218,132,W,17,223.2,-0.1914215331111434,8,6,4.75,30,0,3
2020,TumamocHill,5_6,218,133,W,17,223.2,-0.1914215331111434,5,3,4.75,30,0,3
2020,TumamocHill,5_6,218,134,W,17,223.2,-0.1914215331111434,34,30,4.75,30,0,3
2020,TumamocHill,5_6,218,135,W,17,223.2,-0.1914215331111434,15,13,4.75,30,0,3
2020,TumamocHill,5_6,218,136,W,17,223.2,-0.1914215331111434,17,16,4.75,30,0,3
2020,TumamocHill,5_6,218,137,W,17,223.2,-0.1914215331111434,3,3,4.75,30,0,3
2020,TumamocHill,5_6,219,138,W,16.4,223.2,-0.1914215331111434,16,13,5.375,40,10,3.5
2020,TumamocHill,5_6,219,139,W,16.4,223.2,-0.1914215331111434,16,10,5.375,40,10,3.5
2020,TumamocHill,5_6,219,140,W,16.4,223.2,-0.1914215331111434,6,5,5.375,40,10,3.5
2020,TumamocHill,5_6,219,141,W,16.4,223.2,-0.1914215331111434,8,5,5.375,40,10,3.5
2020,TumamocHill,5_6,219,142,W,16.4,223.2,-0.1914215331111434,2,1,5.375,40,10,3.5
